,exchange,cal_date,is_open
0,SSE,20170601,1
1,SSE,20170602,1
4,SSE,20170605,1
5,SSE,20170606,1
6,SSE,20170607,1
7,SSE,20170608,1
8,SSE,20170609,1
11,SSE,20170612,1
12,SSE,20170613,1
13,SSE,20170614,1
14,SSE,20170615,1
15,SSE,20170616,1
18,SSE,20170619,1
19,SSE,20170620,1
20,SSE,20170621,1
21,SSE,20170622,1
22,SSE,20170623,1
25,SSE,20170626,1
26,SSE,20170627,1
27,SSE,20170628,1
28,SSE,20170629,1
29,SSE,20170630,1
32,SSE,20170703,1
33,SSE,20170704,1
34,SSE,20170705,1
35,SSE,20170706,1
36,SSE,20170707,1
39,SSE,20170710,1
40,SSE,20170711,1
41,SSE,20170712,1
42,SSE,20170713,1
43,SSE,20170714,1
46,SSE,20170717,1
47,SSE,20170718,1
48,SSE,20170719,1
49,SSE,20170720,1
50,SSE,20170721,1
53,SSE,20170724,1
54,SSE,20170725,1
55,SSE,20170726,1
56,SSE,20170727,1
57,SSE,20170728,1
60,SSE,20170731,1
61,SSE,20170801,1
62,SSE,20170802,1
63,SSE,20170803,1
64,SSE,20170804,1
67,SSE,20170807,1
68,SSE,20170808,1
69,SSE,20170809,1
70,SSE,20170810,1
71,SSE,20170811,1
74,SSE,20170814,1
75,SSE,20170815,1
76,SSE,20170816,1
77,SSE,20170817,1
78,SSE,20170818,1
81,SSE,20170821,1
82,SSE,20170822,1
83,SSE,20170823,1
84,SSE,20170824,1
85,SSE,20170825,1
88,SSE,20170828,1
89,SSE,20170829,1
90,SSE,20170830,1
91,SSE,20170831,1
92,SSE,20170901,1
95,SSE,20170904,1
96,SSE,20170905,1
97,SSE,20170906,1
98,SSE,20170907,1
99,SSE,20170908,1
102,SSE,20170911,1
103,SSE,20170912,1
104,SSE,20170913,1
105,SSE,20170914,1
106,SSE,20170915,1
109,SSE,20170918,1
110,SSE,20170919,1
111,SSE,20170920,1
112,SSE,20170921,1
113,SSE,20170922,1
116,SSE,20170925,1
117,SSE,20170926,1
118,SSE,20170927,1
119,SSE,20170928,1
120,SSE,20170929,1
130,SSE,20171009,1
131,SSE,20171010,1
132,SSE,20171011,1
133,SSE,20171012,1
134,SSE,20171013,1
137,SSE,20171016,1
138,SSE,20171017,1
139,SSE,20171018,1
140,SSE,20171019,1
141,SSE,20171020,1
144,SSE,20171023,1
145,SSE,20171024,1
146,SSE,20171025,1
147,SSE,20171026,1
148,SSE,20171027,1
151,SSE,20171030,1
152,SSE,20171031,1
153,SSE,20171101,1
154,SSE,20171102,1
155,SSE,20171103,1
158,SSE,20171106,1
159,SSE,20171107,1
160,SSE,20171108,1
161,SSE,20171109,1
162,SSE,20171110,1
165,SSE,20171113,1
166,SSE,20171114,1
167,SSE,20171115,1
168,SSE,20171116,1
169,SSE,20171117,1
172,SSE,20171120,1
173,SSE,20171121,1
174,SSE,20171122,1
175,SSE,20171123,1
176,SSE,20171124,1
179,SSE,20171127,1
180,SSE,20171128,1
181,SSE,20171129,1
182,SSE,20171130,1
183,SSE,20171201,1
186,SSE,20171204,1
187,SSE,20171205,1
188,SSE,20171206,1
189,SSE,20171207,1
190,SSE,20171208,1
193,SSE,20171211,1
194,SSE,20171212,1
195,SSE,20171213,1
196,SSE,20171214,1
197,SSE,20171215,1
200,SSE,20171218,1
201,SSE,20171219,1
202,SSE,20171220,1
203,SSE,20171221,1
204,SSE,20171222,1
207,SSE,20171225,1
208,SSE,20171226,1
209,SSE,20171227,1
210,SSE,20171228,1
211,SSE,20171229,1
215,SSE,20180102,1
216,SSE,20180103,1
217,SSE,20180104,1
218,SSE,20180105,1
221,SSE,20180108,1
222,SSE,20180109,1
223,SSE,20180110,1
224,SSE,20180111,1
225,SSE,20180112,1
228,SSE,20180115,1
229,SSE,20180116,1
230,SSE,20180117,1
231,SSE,20180118,1
232,SSE,20180119,1
235,SSE,20180122,1
236,SSE,20180123,1
237,SSE,20180124,1
238,SSE,20180125,1
239,SSE,20180126,1
242,SSE,20180129,1
243,SSE,20180130,1
244,SSE,20180131,1
245,SSE,20180201,1
246,SSE,20180202,1
249,SSE,20180205,1
250,SSE,20180206,1
251,SSE,20180207,1
252,SSE,20180208,1
253,SSE,20180209,1
256,SSE,20180212,1
257,SSE,20180213,1
258,SSE,20180214,1
266,SSE,20180222,1
267,SSE,20180223,1
270,SSE,20180226,1
271,SSE,20180227,1
272,SSE,20180228,1
273,SSE,20180301,1
274,SSE,20180302,1
277,SSE,20180305,1
278,SSE,20180306,1
279,SSE,20180307,1
280,SSE,20180308,1
281,SSE,20180309,1
284,SSE,20180312,1
285,SSE,20180313,1
286,SSE,20180314,1
287,SSE,20180315,1
288,SSE,20180316,1
291,SSE,20180319,1
292,SSE,20180320,1
293,SSE,20180321,1
294,SSE,20180322,1
295,SSE,20180323,1
298,SSE,20180326,1
299,SSE,20180327,1
300,SSE,20180328,1
301,SSE,20180329,1
302,SSE,20180330,1
305,SSE,20180402,1
306,SSE,20180403,1
307,SSE,20180404,1
312,SSE,20180409,1
313,SSE,20180410,1
314,SSE,20180411,1
315,SSE,20180412,1
316,SSE,20180413,1
319,SSE,20180416,1
320,SSE,20180417,1
321,SSE,20180418,1
322,SSE,20180419,1
323,SSE,20180420,1
326,SSE,20180423,1
327,SSE,20180424,1
328,SSE,20180425,1
329,SSE,20180426,1
330,SSE,20180427,1
335,SSE,20180502,1
336,SSE,20180503,1
337,SSE,20180504,1
340,SSE,20180507,1
341,SSE,20180508,1
342,SSE,20180509,1
343,SSE,20180510,1
344,SSE,20180511,1
347,SSE,20180514,1
348,SSE,20180515,1
349,SSE,20180516,1
350,SSE,20180517,1
351,SSE,20180518,1
354,SSE,20180521,1
355,SSE,20180522,1
356,SSE,20180523,1
357,SSE,20180524,1
358,SSE,20180525,1
361,SSE,20180528,1
362,SSE,20180529,1
363,SSE,20180530,1
364,SSE,20180531,1
365,SSE,20180601,1
368,SSE,20180604,1
369,SSE,20180605,1
370,SSE,20180606,1
371,SSE,20180607,1
372,SSE,20180608,1
375,SSE,20180611,1
376,SSE,20180612,1
377,SSE,20180613,1
378,SSE,20180614,1
379,SSE,20180615,1
383,SSE,20180619,1
384,SSE,20180620,1
385,SSE,20180621,1
386,SSE,20180622,1
389,SSE,20180625,1
390,SSE,20180626,1
391,SSE,20180627,1
392,SSE,20180628,1
393,SSE,20180629,1
396,SSE,20180702,1
397,SSE,20180703,1
398,SSE,20180704,1
399,SSE,20180705,1
400,SSE,20180706,1
403,SSE,20180709,1
404,SSE,20180710,1
405,SSE,20180711,1
406,SSE,20180712,1
407,SSE,20180713,1
410,SSE,20180716,1
411,SSE,20180717,1
412,SSE,20180718,1
413,SSE,20180719,1
414,SSE,20180720,1
417,SSE,20180723,1
418,SSE,20180724,1
419,SSE,20180725,1
420,SSE,20180726,1
421,SSE,20180727,1
424,SSE,20180730,1
425,SSE,20180731,1
426,SSE,20180801,1
427,SSE,20180802,1
428,SSE,20180803,1
431,SSE,20180806,1
432,SSE,20180807,1
433,SSE,20180808,1
434,SSE,20180809,1
435,SSE,20180810,1
438,SSE,20180813,1
439,SSE,20180814,1
440,SSE,20180815,1
441,SSE,20180816,1
442,SSE,20180817,1
445,SSE,20180820,1
446,SSE,20180821,1
447,SSE,20180822,1
448,SSE,20180823,1
449,SSE,20180824,1
452,SSE,20180827,1
453,SSE,20180828,1
454,SSE,20180829,1
455,SSE,20180830,1
456,SSE,20180831,1
459,SSE,20180903,1
460,SSE,20180904,1
461,SSE,20180905,1
462,SSE,20180906,1
463,SSE,20180907,1
466,SSE,20180910,1
467,SSE,20180911,1
468,SSE,20180912,1
469,SSE,20180913,1
470,SSE,20180914,1
473,SSE,20180917,1
474,SSE,20180918,1
475,SSE,20180919,1
476,SSE,20180920,1
477,SSE,20180921,1
481,SSE,20180925,1
482,SSE,20180926,1
483,SSE,20180927,1
484,SSE,20180928,1
494,SSE,20181008,1
495,SSE,20181009,1
496,SSE,20181010,1
497,SSE,20181011,1
498,SSE,20181012,1
501,SSE,20181015,1
502,SSE,20181016,1
503,SSE,20181017,1
504,SSE,20181018,1
505,SSE,20181019,1
508,SSE,20181022,1
509,SSE,20181023,1
510,SSE,20181024,1
511,SSE,20181025,1
512,SSE,20181026,1
515,SSE,20181029,1
516,SSE,20181030,1
517,SSE,20181031,1
518,SSE,20181101,1
519,SSE,20181102,1
522,SSE,20181105,1
523,SSE,20181106,1
524,SSE,20181107,1
525,SSE,20181108,1
526,SSE,20181109,1
529,SSE,20181112,1
530,SSE,20181113,1
531,SSE,20181114,1
532,SSE,20181115,1
533,SSE,20181116,1
536,SSE,20181119,1
537,SSE,20181120,1
538,SSE,20181121,1
539,SSE,20181122,1
540,SSE,20181123,1
543,SSE,20181126,1
544,SSE,20181127,1
545,SSE,20181128,1
546,SSE,20181129,1
547,SSE,20181130,1
550,SSE,20181203,1
551,SSE,20181204,1
552,SSE,20181205,1
553,SSE,20181206,1
554,SSE,20181207,1
557,SSE,20181210,1
558,SSE,20181211,1
559,SSE,20181212,1
560,SSE,20181213,1
561,SSE,20181214,1
564,SSE,20181217,1
565,SSE,20181218,1
566,SSE,20181219,1
567,SSE,20181220,1
568,SSE,20181221,1
571,SSE,20181224,1
572,SSE,20181225,1
573,SSE,20181226,1
